Distance (km),altitude(meters)
14.739,94.5
14.772,94.4
14.803,96.3
14.841,99.1
14.878,97.7
14.917,101.3
14.958,103.3
15.001,100
15.039,106.9
15.08,114.8
15.12,120.9
15.164,115.6
15.207,110.3
15.247,109.7
15.286,109.7
15.325,107.2
15.364,110.4
15.402,111.3
15.439,109.9
15.475,109.9
15.51,109.1
15.546,108.5
15.581,108.2
15.615,110.2
15.647,111
15.678,115.6
15.707,121.2
15.734,125.4
15.761,128
15.79,131.2
15.826,132.5
15.862,130.5
15.897,127.3
15.923,126.9
15.952,127.3
15.981,126.4
16.013,125.5
16.045,128
16.072,128.9
16.095,130
16.116,132
16.139,133.7
16.163,134.8
16.188,135.3
16.213,135.5
16.237,137.5
16.261,138.6
16.288,138.8
16.317,140.9
16.347,142.8
16.377,144.2
16.407,146.1
16.439,148.2
16.47,150.8
16.501,153.4
16.532,155.8
16.564,158.3
16.597,160.4
16.631,161.8
16.666,162.9
16.701,164.2
16.736,166.2
16.773,167.9
16.809,168.7
16.846,169.6
16.884,170.7
16.921,171.8
16.96,172.7
16.998,173.1
17.038,172.9
17.078,172
17.119,171.2
17.16,170.7
17.202,170.2
17.244,171.5
17.286,173.2
17.327,174.4
17.368,174.6
17.41,174.8
17.451,175.2
17.492,175.4
17.534,175.5
17.576,177.9
17.617,180
17.659,181.5
17.7,182.3
17.741,182.8
17.782,182.6
17.824,181.7
17.865,180.8
17.906,178.8
17.948,175.9
17.99,174.1
18.032,172.9
18.074,172.1
18.117,170.6
18.159,169.1
18.201,168
18.243,167.4
18.285,166.4
18.327,165.7
18.368,165.1
18.409,165.2
18.45,165.2
18.491,164.6
18.531,163.1
18.57,162.4
18.609,162
18.648,161.8
18.687,162.8
18.726,163.8
18.766,165.3
18.806,165.8
18.846,165.2
18.886,164.4
18.927,164.2
18.968,163.7
19.009,163.8
19.05,163.2
19.092,162
19.134,160.4
19.175,160
19.217,158.8
19.258,157.3
19.298,156.9
19.338,156.9
19.378,156.7
19.418,156
19.459,154.1
19.5,152.8
19.541,151
19.583,149
19.624,147.9
19.666,146.6
19.707,144.9
19.749,142.9
19.791,140.8
19.833,138.4
19.874,135.9
19.916,136
19.958,135.7
20,135.5
20.042,135.5
20.085,135.5
20.127,135.3
20.169,135
20.211,134.1
20.253,133.1
20.295,132.2
20.337,131.6
20.378,131.7
20.42,131.5
20.462,131
20.504,130.7
20.545,130.1
20.586,128.7
20.627,127.2
20.668,125.3
20.709,122
20.75,118.5
20.791,115
20.833,111.3
20.875,106.9
20.917,102.1
20.959,98.5
21.002,97.4
21.044,96.4
21.087,94.2
21.129,91.8
21.172,90.3
21.214,88.9
